Geography,date,Count
BIH,2020-05-31,79.36096774193545
BLR,2020-05-31,16.67000000000001
BLZ,2020-05-31,81.4235483870968
BOL,2020-05-31,84.26000000000005
BRA,2020-05-31,80.54129032258064
BRB,2020-05-31,82.19709677419355
BRN,2020-05-31,55.286451612903214
BTN,2020-05-31,83.32999999999997
BWA,2020-05-31,74.10290322580647
CAF,2020-05-31,74.25677419354841
CAN,2020-05-31,71.42999999999996
CHE,2020-05-31,61.73516129032256
CHL,2020-05-31,76.5690322580645
CHN,2020-05-31,74.681935483871
CIV,2020-05-31,69.68258064516127
CMR,2020-05-31,63.89000000000004
COD,2020-05-31,80.55999999999996
COG,2020-05-31,90.53161290322578
COL,2020-05-31,87.63677419354836
COM,2020-05-31,
CPV,2020-05-31,80.22838709677424
CRI,2020-05-31,72.22
CUB,2020-05-31,94.98258064516129
CYP,2020-05-31,87.18387096774188
CZE,2020-05-31,54.69129032258063
DEU,2020-05-31,63.84193548387098
DJI,2020-05-31,77.41741935483876
DMA,2020-05-31,74.25258064516129
DNK,2020-05-31,63.94967741935486
DOM,2020-05-31,94.74451612903223
DZA,2020-05-31,77.56677419354835
ECU,2020-05-31,86.82709677419355
EGY,2020-05-31,84.26000000000005
ERI,2020-05-31,93.52
ESP,2020-05-31,78.58387096774194
EST,2020-05-31,59.468709677419355
ETH,2020-05-31,80.55999999999996
FIN,2020-05-31,55.8845161290323
FJI,2020-05-31,83.30193548387096
FRA,2020-05-31,80.07580645161288
GAB,2020-05-31,79.72193548387094
GBR,2020-05-31,74.22516129032256
GEO,2020-05-31,91.3703225806452
GHA,2020-05-31,60.963870967741926
GIN,2020-05-31,78.69999999999999
GMB,2020-05-31,78.2845161290323
GNB,2020-05-31,
GNQ,2020-05-31,
GRC,2020-05-31,70.75935483870968
GRD,2020-05-31,
GTM,2020-05-31,96.30000000000004
GUY,2020-05-31,87.03999999999998
HKG,2020-05-31,52.78
HND,2020-05-31,100.0
HRV,2020-05-31,72.78838709677413
HTI,2020-05-31,89.80999999999996
HUN,2020-05-31,67.65516129032261
IDN,2020-05-31,73.82193548387099
IND,2020-05-31,82.0787096774194
IRL,2020-05-31,87.39354838709674
IRN,2020-05-31,48.714516129032255
IRQ,2020-05-31,85.27709677419361
ISL,2020-05-31,48.05709677419353
ISR,2020-05-31,77.30129032258064
ITA,2020-05-31,66.57677419354843
JAM,2020-05-31,86.95032258064515
JOR,2020-05-31,81.33387096774196
JPN,2020-05-31,41.90451612903227
KAZ,2020-05-31,85.1703225806452
KEN,2020-05-31,88.89
KGZ,2020-05-31,83.40838709677422
KHM,2020-05-31,57.410000000000025
KNA,2020-05-31,
KOR,2020-05-31,43.56258064516126
KWT,2020-05-31,96.2667741935484
LAO,2020-05-31,72.04387096774194
LBN,2020-05-31,78.85483870967745
LBR,2020-05-31,86.88580645161298
LBY,2020-05-31,99.52258064516131
LCA,2020-05-31,
LIE,2020-05-31,
LKA,2020-05-31,79.89903225806452
LSO,2020-05-31,62.039999999999985
LTU,2020-05-31,73.98645161290322
LUX,2020-05-31,58.03419354838711
LVA,2020-05-31,64.33483870967737
MAR,2020-05-31,93.52
MCO,2020-05-31,71.59548387096771
MDA,2020-05-31,82.35032258064514
MDG,2020-05-31,69.38354838709672
MDV,2020-05-31,
MEX,2020-05-31,82.40999999999998
MKD,2020-05-31,
MLI,2020-05-31,60.242580645161304
MLT,2020-05-31,85.84322580645158
MMR,2020-05-31,82.23096774193544
MNE,2020-05-31,
MNG,2020-05-31,73.62806451612903
MOZ,2020-05-31,57.01806451612904
MRT,2020-05-31,77.78000000000002
MUS,2020-05-31,79.53935483870966
MWI,2020-05-31,60.19000000000004
MYS,2020-05-31,71.41322580645162
NAM,2020-05-31,67.62548387096777
NER,2020-05-31,44.08354838709676
NGA,2020-05-31,84.3945161290323
NIC,2020-05-31,19.59419354838709
NLD,2020-05-31,72.10387096774193
NOR,2020-05-31,61.85516129032255
NPL,2020-05-31,93.30806451612905
NZL,2020-05-31,57.792258064516105
OMN,2020-05-31,87.30354838709681
OWID_KOS,2020-05-31,90.08354838709676
OWID_WRL,2020-05-31,
PAK,2020-05-31,86.2296774193548
PAN,2020-05-31,91.24612903225804
PER,2020-05-31,93.15903225806449
PHL,2020-05-31,94.5077419354839
PNG,2020-05-31,59.603548387096765
POL,2020-05-31,81.53838709677419
PRT,2020-05-31,74.58322580645162
PRY,2020-05-31,91.5135483870968
PSE,2020-05-31,93.25354838709676
QAT,2020-05-31,83.32999999999997
ROU,2020-05-31,79.48064516129033
RUS,2020-05-31,80.70612903225803
RWA,2020-05-31,74.85225806451618
SAU,2020-05-31,90.18709677419353
SDN,2020-05-31,87.48806451612901
SEN,2020-05-31,74.01354838709676
SGP,2020-05-31,74.46290322580651
SLE,2020-05-31,72.6403225806451
SLV,2020-05-31,98.92387096774193
SMR,2020-05-31,68.70064516129034
SOM,2020-05-31,59.02483870967746
SRB,2020-05-31,70.42870967741932
SSD,2020-05-31,77.83838709677424
STP,2020-05-31,
SUR,2020-05-31,77.77774193548386
SVK,2020-05-31,73.15000000000005
SVN,2020-05-31,57.886774193548426
SWE,2020-05-31,64.80999999999996
SWZ,2020-05-31,84.26000000000005
SYC,2020-05-31,65.92193548387095
SYR,2020-05-31,83.63354838709677
TCD,2020-05-31,81.83903225806452
TGO,2020-05-31,73.15000000000005
THA,2020-05-31,75.0
TJK,2020-05-31,43.665161290322615
TLS,2020-05-31,61.292580645161294
TTO,2020-05-31,89.42709677419354
TUN,2020-05-31,84.88612903225804
TUR,2020-05-31,75.93
TWN,2020-05-31,27.183225806451592
TZA,2020-05-31,45.43096774193551
UGA,2020-05-31,87.66322580645158
UKR,2020-05-31,87.09645161290324
URY,2020-05-31,61.10999999999996
USA,2020-05-31,72.69000000000004
UZB,2020-05-31,89.3077419354839
VAT,2020-05-31,
VCT,2020-05-31,
VEN,2020-05-31,84.11387096774196
VNM,2020-05-31,71.4735483870968
YEM,2020-05-31,56.95741935483871
ZAF,2020-05-31,84.26000000000005
ZMB,2020-05-31,49.50774193548386
ZWE,2020-05-31,87.96000000000002
AFG,2020-06-30,80.18266666666666
AGO,2020-06-30,76.36166666666668
ALB,2020-06-30,70.46599999999998
AND,2020-06-30,42.837
ARE,2020-06-30,72.22000000000001
ARG,2020-06-30,89.13666666666667
ARM,2020-06-30,
ATG,2020-06-30,
AUS,2020-06-30,55.01433333333333
AUT,2020-06-30,47.74466666666669
AZE,2020-06-30,85.74333333333334
BDI,2020-06-30,13.889999999999992
BEL,2020-06-30,57.06666666666663
BEN,2020-06-30,42.19466666666666
BFA,2020-06-30,45.369999999999976
BGD,2020-06-30,68.75
BGR,2020-06-30,39.442999999999984
BHR,2020-06-30,75.0
BHS,2020-06-30,80.6166666666667
BIH,2020-06-30,52.961999999999975
BLR,2020-06-30,16.670000000000012
BLZ,2020-06-30,74.07666666666672
BOL,2020-06-30,84.26000000000003
BRA,2020-06-30,77.30999999999996
BRB,2020-06-30,71.4206666666667
BRN,2020-06-30,49.193666666666665
BTN,2020-06-30,83.32999999999997
BWA,2020-06-30,59.57033333333336
CAF,2020-06-30,68.51666666666664
CAN,2020-06-30,70.275
CHE,2020-06-30,44.51033333333333
CHL,2020-06-30,78.23999999999998
CHN,2020-06-30,78.48666666666665
CIV,2020-06-30,64.24000000000002
CMR,2020-06-30,60.19000000000004
COD,2020-06-30,80.55999999999996
COG,2020-06-30,73.4586666666667
COL,2020-06-30,87.03999999999998
COM,2020-06-30,
CPV,2020-06-30,79.17000000000003
CRI,2020-06-30,72.45166666666667
CUB,2020-06-30,93.98100000000002
CYP,2020-06-30,63.45500000000002
CZE,2020-06-30,39.58700000000001
DEU,2020-06-30,61.3276666666667
DJI,2020-06-30,59.26
DMA,2020-06-30,68.51600000000002
DNK,2020-06-30,57.41000000000002
DOM,2020-06-30,86.66899999999997
DZA,2020-06-30,70.55433333333333
ECU,2020-06-30,81.85000000000004
EGY,2020-06-30,73.892
ERI,2020-06-30,93.52
ESP,2020-06-30,54.167333333333346
EST,2020-06-30,39.940666666666665
ETH,2020-06-30,80.55999999999996
FIN,2020-06-30,39.506666666666696
FJI,2020-06-30,73.39333333333335
FRA,2020-06-30,66.20166666666665
GAB,2020-06-30,78.58133333333328
GBR,2020-06-30,70.86599999999999
GEO,2020-06-30,62.49899999999998
GHA,2020-06-30,55.37
GIN,2020-06-30,75.61666666666673
GMB,2020-06-30,73.60833333333329
GNB,2020-06-30,
GNQ,2020-06-30,
GRC,2020-06-30,48.148666666666664
GRD,2020-06-30,
GTM,2020-06-30,96.30000000000003
GUY,2020-06-30,82.46900000000004
HKG,2020-06-30,41.67
HND,2020-06-30,97.16333333333337
HRV,2020-06-30,53.273333333333376
HTI,2020-06-30,79.94166666666665
HUN,2020-06-30,58.703333333333376
IDN,2020-06-30,66.51433333333333
IND,2020-06-30,76.28
IRL,2020-06-30,68.14633333333337
IRN,2020-06-30,43.51666666666669
IRQ,2020-06-30,92.59
ISL,2020-06-30,39.80999999999997
ISR,2020-06-30,74.81466666666667
ITA,2020-06-30,52.038333333333306
JAM,2020-06-30,69.68899999999998
JOR,2020-06-30,53.08833333333336
JPN,2020-06-30,27.77666666666665
KAZ,2020-06-30,81.02
KEN,2020-06-30,87.65533333333342
KGZ,2020-06-30,75.92666666666665
KHM,2020-06-30,40.74
KNA,2020-06-30,
KOR,2020-06-30,53.671666666666674
KWT,2020-06-30,84.94200000000004
LAO,2020-06-30,39.65666666666664
LBN,2020-06-30,74.06999999999996
LBR,2020-06-30,80.09333333333338
LBY,2020-06-30,96.052
LCA,2020-06-30,
LIE,2020-06-30,
LKA,2020-06-30,60.80466666666665
LSO,2020-06-30,59.57000000000003
LTU,2020-06-30,40.37133333333335
LUX,2020-06-30,41.20499999999998
LVA,2020-06-30,53.333
MAR,2020-06-30,79.31933333333329
MCO,2020-06-30,65.74
MDA,2020-06-30,80.55999999999996
MDG,2020-06-30,70.18466666666663
MDV,2020-06-30,
MEX,2020-06-30,71.51199999999997
MKD,2020-06-30,
MLI,2020-06-30,52.903333333333315
MLT,2020-06-30,52.03466666666669
MMR,2020-06-30,80.55999999999996
MNE,2020-06-30,
MNG,2020-06-30,71.29999999999998
MOZ,2020-06-30,70.68266666666663
MRT,2020-06-30,77.78
MUS,2020-06-30,45.76966666666665
MWI,2020-06-30,60.19000000000004
MYS,2020-06-30,60.7116666666667
